name,state,total_population,median_household_income,gross_rent,median_home_value,total_in_labor_workforce,total_not_in_labor_workforce,total_education,education_no_hs,education_hs,education_associates,education_bachelors,education_graduate,total_occupancy_status,occupancy_status_occupied,occupancy_status_vacant,total_home_tenure,home_tenure_owner_occupied,home_tenure_renter_occupied,reporting_date,region_type,city
ZCTA5 32825,12,60254,64400,1329,235900,49406,15672,40753,4466,9803,14492,7810,4182,21827,19123,2704,19123,12544,6579,2020-01-01,zipcode,Orlando
ZCTA5 32826,12,37297,57023,1194,180000,35007,20622,15029,1693,3580,4326,3324,2106,9708,8672,1036,8672,4309,4363,2020-01-01,zipcode,Orlando
ZCTA5 32421,12,4793,37377,596,86500,3851,2033,3341,755,1197,1060,289,40,1961,1592,369,1592,1329,263,2020-01-01,zipcode,Altha
ZCTA5 32433,12,19459,47311,813,97400,15262,6900,13660,2764,5401,4026,930,539,8238,6875,1363,6875,5088,1787,2020-01-01,zipcode,Defuniak springs
ZCTA5 32437,12,763,31618,619,107600,543,231,501,71,261,148,20,1,349,310,39,310,204,106,2020-01-01,zipcode,Ebro
ZCTA5 32438,12,3842,38878,481,75000,3477,1697,2927,612,1141,898,250,26,1854,1613,241,1613,1515,98,2020-01-01,zipcode,Fountain
ZCTA5 32444,12,21922,73258,1312,225900,16788,5461,14140,667,3740,5214,2914,1605,8961,7936,1025,7936,5610,2326,2020-01-01,zipcode,Lynn haven
ZCTA5 32446,12,10745,47554,731,127400,9023,4409,7742,906,2443,2832,742,819,4631,4063,568,4063,2741,1322,2020-01-01,zipcode,Marianna
ZCTA5 32449,12,751,-666666666,-666666666,65600,501,182,469,126,215,128,0,0,306,218,88,218,195,23,2020-01-01,zipcode,Wewahitchka
ZCTA5 32062,12,1666,52917,-666666666,138800,1361,732,1194,250,521,246,57,120,1030,582,448,582,569,13,2020-01-01,zipcode,Mc alpin
ZCTA5 32072,12,114,94728,-666666666,-666666666,114,41,114,0,32,34,39,9,136,59,77,59,59,0,2020-01-01,zipcode,
ZCTA5 32073,12,42153,62688,1124,183700,34319,12113,30081,2640,8270,11621,5084,2466,16027,15094,933,15094,9890,5204,2020-01-01,zipcode,Orange park
ZCTA5 32084,12,36415,54519,1062,214800,31161,13099,26545,2327,9258,7436,4590,2934,16571,13011,3560,13011,8998,4013,2020-01-01,zipcode,Saint augustine
ZCTA5 32086,12,30392,58714,1176,246300,26053,11353,23269,1867,5908,9095,4176,2223,13930,11575,2355,11575,8814,2761,2020-01-01,zipcode,Saint augustine
ZCTA5 32095,12,13155,76846,1076,372000,9992,3296,8669,374,2014,2168,2165,1948,4761,4483,278,4483,3699,784,2020-01-01,zipcode,Saint augustine
ZCTA5 32096,12,2870,41629,594,94400,2328,1315,2140,529,868,471,200,72,1449,1189,260,1189,897,292,2020-01-01,zipcode,White springs
ZCTA5 32097,12,19139,69980,1315,208600,14810,5082,12937,1379,4667,3977,1926,988,7510,6890,620,6890,5523,1367,2020-01-01,zipcode,Yulee
ZCTA5 36028,01,1474,38821,524,104800,1203,601,1008,187,308,339,129,45,989,621,368,621,402,219,2020-01-01,zipcode,Dozier
ZCTA5 36030,01,540,48345,608,151500,519,221,466,21,303,88,45,9,294,173,121,173,139,34,2020-01-01,zipcode,Forest home
ZCTA5 36034,01,1141,41912,542,57200,869,358,659,72,242,213,77,55,440,324,116,324,287,37,2020-01-01,zipcode,Glenwood
ZCTA5 36042,01,1645,56433,-666666666,105700,1301,619,1153,180,565,256,113,39,951,577,374,577,534,43,2020-01-01,zipcode,Honoraville
ZCTA5 36046,01,1345,40885,-666666666,88000,1092,446,952,254,288,260,97,53,599,485,114,485,458,27,2020-01-01,zipcode,Lapine
ZCTA5 36054,01,15559,56593,861,143600,11674,4038,9717,1133,2947,3010,1635,992,6164,5735,429,5735,4071,1664,2020-01-01,zipcode,Millbrook
ZCTA5 36089,01,7683,31596,569,80100,5948,3036,5051,1356,2036,1141,325,193,3417,2610,807,2610,1849,761,2020-01-01,zipcode,Union springs
ZCTA5 36104,01,9084,31717,694,86100,7474,3949,5695,1192,1662,1427,731,683,4742,3451,1291,3451,972,2479,2020-01-01,zipcode,Montgomery
ZCTA5 36105,01,9636,32588,841,81800,8169,4113,7363,1899,2196,2166,714,388,5487,4113,1374,4113,2474,1639,2020-01-01,zipcode,Montgomery
ZCTA5 36116,01,45027,51124,901,98600,34602,12071,28904,3431,6916,9082,5464,4011,20543,17838,2705,17838,8622,9216,2020-01-01,zipcode,Montgomery
ZCTA5 36207,01,19737,59832,835,166800,16018,6698,13727,979,3931,4813,2066,1938,9706,8118,1588,8118,5957,2161,2020-01-01,zipcode,Anniston
ZCTA5 36260,01,4286,59228,607,144400,3276,1729,3021,353,1184,868,341,275,1769,1539,230,1539,1236,303,2020-01-01,zipcode,Eastaboga
ZCTA5 36263,01,385,-666666666,710,101400,368,205,320,46,149,68,10,47,254,163,91,163,99,64,2020-01-01,zipcode,Graham
ZCTA5 36265,01,20299,47152,647,144300,17124,7413,12993,1451,4138,4055,1911,1438,9376,8209,1167,8209,5122,3087,2020-01-01,zipcode,Jacksonville
ZCTA5 36267,01,239,-666666666,-666666666,-666666666,97,85,97,0,74,23,0,0,12,12,0,12,12,0,2020-01-01,zipcode,Millerville
ZCTA5 35951,01,12226,45073,603,112400,9382,4422,8020,2275,2417,2308,737,283,4894,4241,653,4241,3177,1064,2020-01-01,zipcode,Albertville
ZCTA5 35957,01,15861,41773,589,96900,12061,5363,10162,1739,3455,3574,915,479,6469,5649,820,5649,3588,2061,2020-01-01,zipcode,Boaz
ZCTA5 35963,01,1076,33451,-666666666,111000,962,475,924,126,267,431,74,26,669,518,151,518,371,147,2020-01-01,zipcode,Dawson
ZCTA5 35972,01,1196,-666666666,-666666666,77600,963,531,869,245,322,186,89,27,554,499,55,499,445,54,2020-01-01,zipcode,Gallant
ZCTA5 35973,01,3368,41694,-666666666,89000,2734,1435,2374,614,785,747,185,43,1546,1224,322,1224,1072,152,2020-01-01,zipcode,Gaylesville
ZCTA5 35022,01,20684,63434,898,185700,17495,6228,14902,1061,4697,5004,2807,1333,9028,8492,536,8492,6584,1908,2020-01-01,zipcode,Bessemer
ZCTA5 35036,01,255,-666666666,256,65000,233,158,157,40,100,13,4,0,155,121,34,121,33,88,2020-01-01,zipcode,Brookside
ZCTA5 35043,01,13297,93731,1099,244700,9697,3509,8390,246,1709,3117,2309,1009,4433,4103,330,4103,3698,405,2020-01-01,zipcode,Chelsea
ZCTA5 35058,01,9216,44514,764,126100,7578,3197,6847,1136,2516,2261,601,333,4194,3610,584,3610,2721,889,2020-01-01,zipcode,Cullman
ZCTA5 35061,01,1593,52989,947,150400,1475,517,1188,108,404,559,92,25,664,479,185,479,310,169,2020-01-01,zipcode,Dolomite
ZCTA5 35062,01,8347,51657,693,124200,6573,3075,5857,800,2079,1867,787,324,3602,3267,335,3267,2632,635,2020-01-01,zipcode,Dora
