"Position","Title","Company","Location","Salary","Short Description","Posted At","Detail link"
21,"Information Security Engineer II","BankUnited","Miami Lakes, FL 33016",,"Familiarity with bank security policies and government regulations pertaining to information security preferred.
Identifies and reports suspicious activity.","Posted
Posted 16 days ago","https://www.indeed.com/rc/clk?jk=b2e010ddce1a6de2&bb=cZAUEec6x50kgTUsPRBKO4Ets946mtVm5qLdKV7FQ08V0FswNp8By5-Rwttx-8FjJXQBG2v6SiQcLxTo4meHxnx1Mul3hlvhaXT6PNLQENWLt-2ESPiH1w%3D%3D&xkcb=SoA-67M3_Po5KSxgRh0ObzkdCdPP&fccid=5500c50eab3ba786&vjs=3"
22,"Cyber Security Systems Engineer - Data Engineering","Argo Cyber Systems","Remote in Pensacola, FL",,"To solve data security monitoring use cases to enable threat detection and incident response.
Experience applying data from security monitoring applications …","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=8af1c0014ad2b47d&bb=cZAUEec6x50kgTUsPRBKO1ulu0HHVrIP7Qbb7RJ-swWyEIg11iaNO53Nbqy5v_QStJqkk7SIgiwR-FZOnXewnh3bkOGfgTniBfhZQ6iJKBq-4IiWltydMmj_KDTa0SrC&xkcb=SoCj67M3_Po5KSxgRh0NbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3"
23,"Cybersecurity Engineer","Imagine One Technology & Management Ltd","Jacksonville, FL 32099",,"Shall have a minimum of five (5) years of Cybersecurity experience in performing system hardening.
Shall have demonstrated experience with performing STIG…","Posted
Posted 9 days ago","https://www.indeed.com/rc/clk?jk=d583f39f26352655&bb=cZAUEec6x50kgTUsPRBKOxhruglY72zs6Ax_dW67pD7tDu5SeFj7ttR8P8vH9Kf279tJpxFcfZMftkffAO19_gvCvtFNnYEN_H_9wapzyYMdUbQXTilw3PxoZd8T7PMy&xkcb=SoAX67M3_Po5KSxgRh0MbzkdCdPP&fccid=67827b2d5b3e6ebe&vjs=3"
24,"Senior Cyber Security Engineer","ISPA Technology","Panama City Beach, FL 32408",,"U.S. citizenship and the ability to obtain and maintain a DoD security clearance.
This role is critical in enhancing our cybersecurity framework and ensuring…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=6e58984d30f2018c&bb=cZAUEec6x50kgTUsPRBKO2GxFUe4VGfQvtPKxBSJmpbvHC8SEqtrlLDL7LhytY6m_uTJ6NK6iocO1xBGWH1cm0GuP4aTcxprufCE_e5knPz-fLlCbzN6Mq26rPIQzQIw&xkcb=SoD-67M3_Po5KSxgRh0DbzkdCdPP&fccid=1c7ed79af7baa631&vjs=3"
25,"Senior Security Engineer, Detection and Response","Circle","Remote in Miami, FL","$147,500 - $195,000 a year","4+ years of experience as a security engineer, site reliability engineer, devops/cloudops engineer or systems engineer with a minimum of two years (can be…","Posted
Posted 25 days ago","https://www.indeed.com/rc/clk?jk=215fbf4f51cdde43&bb=cZAUEec6x50kgTUsPRBKO08gPqcgFGuA1WvznDkbke7Jx8ydKn9MizeExSYTvul44g91BdeAlPEGBI1KISgNHMRvlHYEYPf5IKWB0C3zSAhDNEHKfwtNTTZj76mTHaF4&xkcb=SoBK67M3_Po5KSxgRh0CbzkdCdPP&fccid=35900636d62adaf2&vjs=3"
26,"Insider Threat Security Engineer, AVP","MUFG Bank, Ltd.","Hybrid work in Tampa, FL 33607",,"The selected colleague will work at an MUFG office or client sites four days per week and work remotely one day.","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=d122875a7ab9235f&bb=cZAUEec6x50kgTUsPRBKO-hbdF5dvlGT9ccwM5YZELDoPeOFdZv7n-2mAgTUwdbzMWB7Uuio33HYmFZDUkpdV6ymvvwJBORRzpZDQN_I91Hw-_E7vjJsSmojdTBvqG1U&xkcb=SoDX67M3_Po5KSxgRh0BbzkdCdPP&fccid=3b98171e4a0fd997&vjs=3"
27,"Security Engineer II - IS Network Engineering","Lakeland Regional Health","Lakeland, FL 33801 
(Downtown area)","$101,857.60 - $127,337.60 a year","Designs, implements and supports integration of information security solutions including security architectures, integrating security products, and developing…","Employer
Active 6 days ago","https://www.indeed.com/rc/clk?jk=f1b2bb68c64d5d83&bb=cZAUEec6x50kgTUsPRBKO4x8bqlqBVPjbIupjx7VYvguEzd_gK7HQr4xw_tpRkHIjUTMWHbNkImgEmBCEVlchYI5e6-UTK95bPnYwWK6g0h-DHUFz8N_Pw%3D%3D&xkcb=SoBj67M3_Po5KSxgRh0AbzkdCdPP&fccid=e5b13a51e840670a&vjs=3"
28,"Network Security Engineer (Prisma)","Fisher Investments","Hybrid work in Tampa, FL",,"Design upgrades of existing security infrastructure.
Support the Global Security Infrastructure of the firm.
Develop process to support departmental and company…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=cc67c381f62538a2&bb=cZAUEec6x50kgTUsPRBKOyk7NPSOuPKkPQHOF3DcQ2n3T6Um_1Xm_nJE04s0-JpmjRcBasSUfwRygCX1CEMMFXLpLD9qQO6AOHCaabn3Cba7IB3XvjhCuw%3D%3D&xkcb=SoDt67M3_Po5KSxgRh0HbzkdCdPP&fccid=bca5300dac46237f&vjs=3"
29,"Senior Security Networking Engineer/Architect","M247","Remote in Saint Petersburg, FL 33701",,"Design and implement network security solutions.
Manage and troubleshoot network security issues.
Conduct network security assessments and audits.","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=97b49031c28cc9f6&bb=cZAUEec6x50kgTUsPRBKO4LvmfGacaHfdQt0_9HQSH8kkXg4Lt6yBBkQ_ZPAbS9Q9MhKyX68RMYrVFbsyIqGx4Wv8rjO-kIAyI8g6QKM2M03EIaJXHKOk187P_2rEaqF&xkcb=SoBZ67M3_Po5KSxgRh0GbzkdCdPP&fccid=65bb55c8b5e6d32f&vjs=3"
30,"Senior Application Engineer, IT Security Operations","Universal Orlando Resort","Orlando, FL",,"Identify and communicate key risks and security posture to senior leadership; build effective relationships across UDX business units; mentor junior security…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=fc905411efda3f41&bb=cZAUEec6x50kgTUsPRBKOwSxUo883FuvmPWRrqbXLizE757xYaDSHyRinSPOZR1NUn0G8ZYXCuheCvxtWTchFIHYUp7uQ8K4UYnO3H4IjGbiUxi0k3bemu-PDif2QCC3&xkcb=SoDE67M3_Po5KSxgRh0FbzkdCdPP&fccid=8a2e5e25a9623039&vjs=3"
