"Position","Title","Company","Location","Salary","Short Description","Posted At","Detail link"
84,"Cyber Enterprise Quality Engineer - VP","BNY Mellon","Lake Mary, FL",,"Minimum 8 years of experience in information security or related technology experience required, experience in the securities or financial services industry is…","Posted
Posted 26 days ago","https://www.indeed.com/rc/clk?jk=cff207dafa182733&bb=WKWOyuBx51mTnluckOTabpanuFEs7wzXqOvCRZ-oG_Ef0DoaNhRH4pF6v8KIOSszdsTQ5rcm-LY72CDKorclzNlVfRhtpv2TzpG0uCBtLNpJ-MmqSonFXg%3D%3D&xkcb=SoCs67M3_Po39og0zD0DbzkdCdPP&fccid=b4048be2884af072&vjs=3"
85,"Cybersecurity Engineer - TRU Simulation Training, Inc.","Textron","Lutz, FL 33548",,"Conducts assessments of existing IT architecture for compliance with security requirements from application security frameworks.
Bachelor’s degree required in:","Posted
Posted 9 days ago","https://www.indeed.com/rc/clk?jk=bc498c05832de6c8&bb=WKWOyuBx51mTnluckOTaboPxj61CwNCPR4k6S5xz_uRDVxjHXOMdI5e1LEKN-Y1qbVBiaPrLEtfUqRDXH2-c7Q7tihso7899NKTGHV1Fb2levtY6lrFx-g%3D%3D&xkcb=SoAY67M3_Po39og0zD0CbzkdCdPP&fccid=be0fe44f2a1c36c4&vjs=3"
86,"Cloud Security Engineer","Regions","Remote in Salt Lake City, UT 84101",,"Partners with other security engineers and other Cybersecurity staff to oversee code releases.
Participates in security incident response activities and post…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=0d4b1a57b6121ba9&bb=WKWOyuBx51mTnluckOTabmcpKM7_s0U5b4cjruS89Km5i_EdmOpaMfUJGVy3vWacN7loHoprVr2ODZVMWD3n-AP2DBDi_90aEqK51XyaAThBrOyBjPG382hdfRF0CgCp&xkcb=SoCF67M3_Po39og0zD0BbzkdCdPP&fccid=14b6efc0812e707a&vjs=3"
87,"Engineer - Network Security (Unified SASE, Fortinet, Southeast Region)","DGR Systems LLC","Remote in Tampa, FL","$60,000 - $100,000 a year","Engage in peer review sessions to aid fellow engineers in optimizing the quality of their deliverables.
In-depth understanding of network engineering, security …","Employer
Active 7 days ago","https://www.indeed.com/rc/clk?jk=698f7d5a93abcb6e&bb=WKWOyuBx51mTnluckOTabujbZNuCH8J8m5g6j9S2VmAuoiLG5Asfj-w_aXd2XDhZW8nJmrKJmreqlAm2sToiLMZzxsZUyFzB6EQxAOB6m9gLhbfw7OHTWwJL4TYXiMEG&xkcb=SoAx67M3_Po39og0zD0AbzkdCdPP&fccid=e247b59a6b991fb8&vjs=3"
88,"Senior IT Security Engineer","Mount Sinai Medical Center - Florida","Hybrid work in Miami Beach, FL 33140","$85,000 - $105,000 a year","2-5 of experience as a security engineer.
*Industry certifications: Certified Information Systems Security professional (CISSP), CISA, Certified Ethical Hacker …","Employer
Active 4 days ago","https://www.indeed.com/rc/clk?jk=4fc7a562b7404119&bb=WKWOyuBx51mTnluckOTaboATYdSeEWOEnx-oB-VCi0bc9L-hRPgssn8XWFkaROl2EtRyjGH6YglBfx2Oa-G6DV74y9PXaz4RSQ7xFiE_kfCpzH-jVsFCbGDvfIqeTUGz&xkcb=SoC_67M3_Po39og0zD0HbzkdCdPP&fccid=3d022164dba1c289&vjs=3"
89,"Security Solutions Engineer","Allied Universal® Technology Services","Pensacola, FL 32503",,"5+ years experience in Electronic security systems design / engineering.
Ability to collaborate with diverse teams of technical designers and engineers.","Posted
Posted 25 days ago","https://www.indeed.com/rc/clk?jk=62df74b6d3762469&bb=WKWOyuBx51mTnluckOTabg-LzZXS1_l4e2UocU_hqoLVs8hxgECjku1MegvGDKfD0K9LVrVcxF5h3Bz8tjwFYGO_2mG6jnlpiCOHDL1fODkUOpbEadqxr_rk9hiGW-9W&xkcb=SoAL67M3_Po39og0zD0GbzkdCdPP&fccid=70d30d072524a2de&vjs=3"
90,"Firewall Engineer","Northern Technologies Group","Tampa, FL","$80,000 - $85,000 a year","Troubleshoot and resolve complex network security issues.
5 to 10 years of experience in firewall administration and network security.","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=cadee6d3a44c7962&bb=WKWOyuBx51mTnluckOTabiREBxZY23ED3L0j33gxNfctsFtwnpHxfQFNQw7ajoaVRqAd0OiHwJHhQAP-oZI-G9YRp-fFxcGqc95-QB209R9vIRJCPhmvbJ4lsgayfyo8&xkcb=SoCW67M3_Po39og0zD0FbzkdCdPP&fccid=6378da01bf80bbc1&cmp=Northern-Technologies-Group&ti=Firewall+Engineer&vjs=3"
91,"Application Security Engineer","City National Bank of Florida","Miami, FL 33131 
(Downtown area)",,"Stay informed about the latest security threats and recommending security enhancements.
Collaborate with cross-functional teams to prioritize and mitigate…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=4505dbe854ba1691&bb=pC55dD5P6-F0J-hdEZ0_VKMbfg0u26p2xbQs0o1iNbHXhhaJ1BQsuAXip0Osec7k7IU6Q1u10nWcSDAO9_qdwDDbVuxEHT5M8-LHbcCK8m6g0CazkY5oy2ONXvAdTpMf&xkcb=SoDX67M3_Po3oQg0zD0LbzkdCdPP&fccid=5524a4d8649d40bd&vjs=3"
92,"Senior Cybersecurity Engineer","Wabtec","Jacksonville, FL",,"CISP (Certified Information security Professional).
Drive and support an authoritative technical consultation process on product cybersecurity across Wabtec’s…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=5bcffa8951224051&bb=pC55dD5P6-F0J-hdEZ0_VGZY7msOd8kleK5QuXLFST5QgDjAunSn-9GYcAbCUqgspWGdUkiTGqgWkucR6AOrb8QBfZDibYn1Pd2TD0flZXDBUR-M1lTMj65eBytCMuo4&xkcb=SoBj67M3_Po3oQg0zD0KbzkdCdPP&fccid=4f4e9de46f588f62&vjs=3"
93,"Sales Engineer- Cybersecurity","ConnectWise","Tampa, FL",,"The Sales Engineer Cybersecurity is responsible for assessing the potential application of products or services and offers solutions that meet customer needs.","Posted
Posted 25 days ago","https://www.indeed.com/rc/clk?jk=3be3920e6371ac13&bb=pC55dD5P6-F0J-hdEZ0_VDTQEOo1e2areDEo62N_0mCMXZfzYN4qFnR-LNtnmLfTXqi5GrDYKV_CgxQmo2V2qaPQfZKaUn3wU3btGi_YM8e-HswhG7EcMZYPH3-9H6zV&xkcb=SoD-67M3_Po3oQg0zD0JbzkdCdPP&fccid=737f3df5ff7c7739&vjs=3"
94,"Sr Cyber Network Security Engineer","Trova","Hybrid work in Orlando, FL",,"Expert level experience in the technical design and implementation of perimeter and Cloud security technologies.","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=70a646fbdfc5c1d0&bb=pC55dD5P6-F0J-hdEZ0_VMWZup8KUWbwIu_YKtFeX9gNyKTmbks0fc3VPVMKMjbegxfhyMlfEMd0R2yr1fnrbU5nDvyBJqmTj-rNDpmDAH9Yt6IWSIwdzUBdDGkUdiV_&xkcb=SoBK67M3_Po3oQg0zD0IbzkdCdPP&fccid=57720de0e731c9d1&vjs=3"
95,"Software Engineer - Big Data","KBR","Niceville, FL 32578",,"The Software Engineer must have the ability to work closely with other engineers to develop the best technical design and approach for new product development.","Posted
Posted 22 days ago","https://www.indeed.com/rc/clk?jk=49d422272a72fff7&bb=pC55dD5P6-F0J-hdEZ0_VLB73_k6_fiGbb63G-3Jgacq1ov6DcaDmVzGTwBz9SCowsV5snX3YmmuIRIHlqLEuHI4NfPSApP_16TxBoDUdroqRwW3jH5VlQ%3D%3D&xkcb=SoDE67M3_Po3oQg0zD0PbzkdCdPP&fccid=cbfa56f19cc95796&vjs=3"
96,"Sr. Infrastructure Engineer, Platform Ops - Linux/Ubuntu, Palo Alto Firewalls, CCNA (R/S) and CCNP","Presidio Networked Solutions, Inc.","Orlando, FL 32839",,"Strong expertise in Cisco networking and network security practices.
Monitor network performance and conduct regular system tests to ensure security.","Employer
Active 8 days ago","https://www.indeed.com/rc/clk?jk=9d84001cf307ac0f&bb=pC55dD5P6-F0J-hdEZ0_VNMBS3ZxEtviyV6MLJuYBmbq2GHeKAkzU49iufDnWSg26gE0ci2aH_fSP7gl3eZrfh4usxUQy430qFm9L7OIvBdyGHLdxEfykZclfFFb7fFP&xkcb=SoBw67M3_Po3oQg0zD0ObzkdCdPP&fccid=6980f95d3cb6df18&vjs=3"
97,"Senior CyberArk Infrastructure Security Engineer","Fisher Investments","Hybrid work in Tampa, FL",,"Understand risk and make recommendations for enhancing systems security and processes.
Guide privileged access management programs to improve our broader…","Posted
Posted 23 days ago","https://www.indeed.com/rc/clk?jk=3547c0c2476a52ec&bb=pC55dD5P6-F0J-hdEZ0_VBQ7ULq2z2zTTyDLvYLiAfPH_yUlEG2Y-5XMndRT61L-cg-yBdezgYyushk6LH97ZrozVPzTBoOQKZT6t0F-GhKNrtYJD7DYhQ%3D%3D&xkcb=SoDt67M3_Po3oQg0zD0NbzkdCdPP&fccid=bca5300dac46237f&vjs=3"
98,"NOC Security Engineer","5i solutions","Orlando, FL",,"Strong understanding and practical use of web security gateways, perimeter security, network access controls, endpoint security (AV, IDS/IPS (UTM), DLP, Malware…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=4330e809dbd024f4&bb=pC55dD5P6-F0J-hdEZ0_VASpITgTzpFzNgnAbO8qIkVvMyRpfdpiIR6Z7rDcqHe5s0NRzd41aOTbj1N6MYLy4ZN3RkRwatsZzixVMa3JYW7Z9Rsd_6b9TMFckxRA_-Qo&xkcb=SoBZ67M3_Po3oQg0zD0MbzkdCdPP&fccid=3214f16d8805aaa1&vjs=3"
99,"Senior Engineer - Network Security (Secure Application Delivery, Southeast)","DGR Systems LLC","Remote in Tampa, FL","$80,000 - $120,000 a year","Engage in peer review sessions to aid fellow engineers in optimizing the quality of their deliverables.
In-depth understanding of network engineering, security …","Employer
Active 3 days ago","https://www.indeed.com/rc/clk?jk=c023224c18bca53f&bb=pC55dD5P6-F0J-hdEZ0_VD8sgj1n8fFwa_xrJa798FPJfWmt50D36hA9R-b_Q42w5LdiouLv3ZnE7-f8q8cHKXfcGMmhoKxsGV1EENgOylp1Vy2YxttKNOja2J0H1TX4&xkcb=SoCw67M3_Po3oQg0zD0DbzkdCdPP&fccid=e247b59a6b991fb8&vjs=3"
100,"Security Engineer","5i solutions","Orlando, FL",,"5i is in search of a qualified Network Security Engineer, who enjoys security work and possesses expertise (depth and breadth) knowledge in the security space.","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=405190e397a4765d&bb=pC55dD5P6-F0J-hdEZ0_VIBj3u9UJlHS0sxAlZ5cV6MQeYeWOeTkoI4-dkh6Z1as-RYqeR6I-2bh73SL6r7bNHAkBejf5W8iKGOG7LCU6ByzH9e95gf9dndgmA0EB-Qw&xkcb=SoAE67M3_Po3oQg0zD0CbzkdCdPP&fccid=3214f16d8805aaa1&vjs=3"
101,"Lead Security Engineer","JPMorgan Chase & Co","Tampa, FL 33610",,"Minimizes security vulnerabilities by following industry insights and governmental regulations to continuously evolve security protocols, including creating…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=9fd00a0a401556fb&bb=pC55dD5P6-F0J-hdEZ0_VGU_vDTzHo5IO-IJ-hj1tT5XP6y1rzgnoR7E0jRvRqH86TNI-dvefP-qEfUF5MgSExtSs-fDh6m5TtBYONZl6fckp5EaghugJg%3D%3D&xkcb=SoCZ67M3_Po3oQg0zD0BbzkdCdPP&fccid=c46d0116f6e69eae&vjs=3"
102,"Cyber Network Defens e Analyst","V3Main Technologies Inc.","Tampa, FL",,"Knowledge with application and network security.
Utilize formal network security monitoring policies and procedures that include the appropriate use of DoD…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=c8657f9bd9d92387&bb=pC55dD5P6-F0J-hdEZ0_VDkMWOwgr2gARtbaTuU81OgoyOgApOktv8Z4Gh_ndDGhsK7s7fpfGMC55BgqSdjJ8MvprsiQKGGz4MaHbJwzvWfZKvSJlgszAZygHnhibz4B&xkcb=SoAt67M3_Po3oQg0zD0AbzkdCdPP&fccid=c2cf8c6c92c1e6ef&vjs=3"
103,"Jr Network Engineer","INflow Federal","Pensacola, FL",,"This network includes Cisco, Aruba, Brocade, Juniper, Riverbed and McAfee network devices to include Routers, Switches, Access Points, Intrusion Prevention…","Posted
Posted 23 days ago","https://www.indeed.com/rc/clk?jk=1e932cde3478fbbc&bb=pC55dD5P6-F0J-hdEZ0_VD8sgj1n8fFwTu1iVxfK3yujfg_8XAlgF586qnSABiC5dgXr6PsHygDkiY8IMEnmHVNt6kPp8se6XIxZLS1H8eoUCr61SErzKI_i2VnIK1Wu&xkcb=SoCj67M3_Po3oQg0zD0HbzkdCdPP&fccid=05ad1ad310669ab9&vjs=3"
104,"Principal Engineer Software - Cloud & Applications","Northrop Grumman","Melbourne, FL","$92,600 - $115,800 a year","Collaborate with systems engineers, hardware designers and integration/test engineers to develop and maintain complex software systems.","Posted
Posted 30 days ago","https://www.indeed.com/rc/clk?jk=a0281593306065da&bb=pC55dD5P6-F0J-hdEZ0_VNvNgMnojgb_DiparP_xlkFv1vRehdDXMSppo_5RhvZOmBP-kd5j_0LvjW4n7JHUaOmvCsNRS8DqiCNfvhrZB8toWFBdU022mg%3D%3D&xkcb=SoAX67M3_Po3oQg0zD0GbzkdCdPP&fccid=11619ce0d3c2c733&vjs=3"
105,"Security Engineer","GLOTECH, Inc.","Orlando, FL",,"Architect and engineer new IT security solutions and services to continually mature the risk posture of the organization.","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=9059586fcb240255&bb=pC55dD5P6-F0J-hdEZ0_VNG1tHIqVlCXdp-3dP-VPzdprdkd2mOBoM2uE69GgbdN3o2t_duJtjTc7rrFY7Y3pnT62F4OBUFL5Kznp5sNW-h61Am4OIBN4af61bHXxNDO&xkcb=SoCK67M3_Po3oQg0zD0FbzkdCdPP&fccid=705d3d232f9ebfbf&vjs=3"
106,"Principal Engineer Software - Cloud & Applications","Northrop Grumman","Melbourne, FL","$92,600 - $115,800 a year","Collaborate with systems engineers, hardware designers and integration/test engineers to develop and maintain complex software systems.","Posted
Posted 30 days ago","https://www.indeed.com/rc/clk?jk=a0281593306065da&bb=xmBCfNe9FIHcOqa2K-Y4o-bk8LCllWCaILHDh6XA0h5TiWpOoyq26XOkZ1vsA3S8FX3hlQnVvKg_x1HwQ5y-BGDtYEhKw887P7-EI4H-ZnZC3-S8b8oMwg%3D%3D&xkcb=SoCX67M3_Po3GBwnAB0IbzkdCdPP&fccid=11619ce0d3c2c733&vjs=3"
107,"Security Engineer","GLOTECH, Inc.","Orlando, FL",,"Architect and engineer new IT security solutions and services to continually mature the risk posture of the organization.","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=9059586fcb240255&bb=xmBCfNe9FIHcOqa2K-Y4owU3IbA0tgUBQq-qnmK8TpIpg_Err1vEdZkSKskbPgWLboETUp6aDjFgorJ-X87HG9a_jjq9xUzMPB_2M-NZIGX7K5EZQUpTm3IjHo5Lp7rv&xkcb=SoAZ67M3_Po3GBwnAB0PbzkdCdPP&fccid=705d3d232f9ebfbf&vjs=3"
108,"Senior Engineer - Network Security (Unified SASE, Fortinet, Southeast Region)","DGR Systems LLC","Remote in Tampa, FL","$80,000 - $120,000 a year","Engage in peer review sessions to aid fellow engineers in optimizing the quality of their deliverables.
In-depth understanding of network engineering, security …","Employer
Active 9 days ago","https://www.indeed.com/rc/clk?jk=22e795b66eadac7f&bb=xmBCfNe9FIHcOqa2K-Y4o5PHEV-qFZifooFBs8BqyfEqZKxsCF1G5UoPXt-X7Husf9j9WpZW2c_F1w-gGbClNC0FftPV8Pv8RqUh6mOY9b__yvEmoQuONDhe8TFdnjry&xkcb=SoCt67M3_Po3GBwnAB0ObzkdCdPP&fccid=e247b59a6b991fb8&vjs=3"
109,"IT Network/ System Engineer","Hubbard Construction Company","Winter Park, FL",,"Perform server and security audits, and system backups and recovery.
Experience with network capacity planning, network security principles, and general network…","Posted
Posted 12 days ago","https://www.indeed.com/rc/clk?jk=353aeea6c6798166&bb=xmBCfNe9FIHcOqa2K-Y4o_LJvCtcGoHBMxhbcDO3RtCg2WA0qW4oQvc219GY_klw2BJXFcLcQaFopc_7Nua00DWtmY8i0vZlr2N23IrrK6VZKLB3xXL1gwzuwSui3WOA&xkcb=SoAw67M3_Po3GBwnAB0NbzkdCdPP&fccid=d9b97698aa14f53e&vjs=3"
110,"Infrastructure Network Engineer","Zenith Insurance Company","Sarasota, FL 34236",,"Create/maintain relevant system standards for networking and security infrastructure components.
Ability to contribute to designing, implementing and…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=aa6d73f96497892c&bb=xmBCfNe9FIHcOqa2K-Y4o8tJ96s2w_Q8eNdzI6CLYJsoTIm9LmM3-B2X8uJChhQHgnlcF0vZH5ENrLV2uo4Pgn12DdRW1kMQiUj2R-PGSHbD6DdT61LeQA%3D%3D&xkcb=SoCE67M3_Po3GBwnAB0MbzkdCdPP&fccid=957025aec3d393cd&vjs=3"
111,"Information Security Assurance Engineer (ISSE)","Castalia Systems, LLC","Tampa, FL",,"In this role, you will be responsible for ensuring that the systems security meets all DoD/JCSE requirements and design, facilitating system assessments,…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=c19602eac853fc1b&bb=xmBCfNe9FIHcOqa2K-Y4owHdUmak0AwSo3KbSEe4cAdFidywK16_MRniQYzfwxe_Z4t-clPUDNMEL-1jqw9zBi6gPZRue0Zc2bXFtQE4opDI_Vj3vkoF-HgU1MyojWSO&xkcb=SoBt67M3_Po3GBwnAB0DbzkdCdPP&fccid=34a7773705c9403e&vjs=3"
112,"Mainframe Security Engineer","BNY Mellon","Lake Mary, FL",,"Improving security setup for existing products and engineering security solutions/setup for new products.
Support mainframe security environment (Focusing on…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=d3a19a23603d5f16&bb=xmBCfNe9FIHcOqa2K-Y4oxaFDulxd3SRZeUoUzypUvQAH4LGlIIYE9uYd5a0kki6VTXAng7ID0K08oIFsQcPKgbHBeMNVpZnE4DhKofDDNp11QgCsGzgDg%3D%3D&xkcb=SoDZ67M3_Po3GBwnAB0CbzkdCdPP&fccid=b4048be2884af072&vjs=3"
113,"Microsoft Azure Security & Infrastructure Engineer / Consultant","ECF Data, LLC","Hybrid work in Tampa, FL 33606","$40 - $65 an hour","The Azure Engineer will provide the engineering and second level of support for all Azure platform and related services.
AZ-103: Microsoft Azure Administrator.","Posted
Posted 2 days ago","https://www.indeed.com/rc/clk?jk=865d44d6705e996a&bb=xmBCfNe9FIHcOqa2K-Y4oz5H3xVGpyH9XoPX3A4l-1ta6Z9ANmLWIpXNSYKqGA_g2J4_sBKrrcYUd4f1TnfGns1S6CLF6TaBklwdSBWVMLfQM11Wt7jqlMu-Vdt20Yf8&xkcb=SoBE67M3_Po3GBwnAB0BbzkdCdPP&fccid=b7ad2567b597d3af&vjs=3"
114,"Application Security Engineer - Remote","Ryder System","Remote in Miami, FL 33178","$120,000 - $150,000 a year","Analyze security assessment results to identify security vulnerabilities and provide guidance on remediation.
They will determine where security vulnerabilities…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=ca5f3cd13858f58c&bb=xmBCfNe9FIHcOqa2K-Y4o-t7H4FtGfvLk508EnoR4uz13F4jOyWfCa9aOcucfLQYznPUJZA4OSL2x-FJ7xuD7Vm2wX3qLmZZwYcEWvPeOyiDiOMM7eewvg%3D%3D&xkcb=SoDw67M3_Po3GBwnAB0AbzkdCdPP&fccid=22f3171d623451cc&vjs=3"
115,"ERP Security Engineer","AdventHealth Information Technology","Altamonte Springs, FL 32701","$42.77 - $64.16 an hour","Ability to support multiple enterprise security platforms.
Perform periodic code analysis/review to ensure industry recognized standards are followed and…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=5683d0398360ca77&bb=xmBCfNe9FIHcOqa2K-Y4o5PHEV-qFZif0y7SdcR1VK3brBdBOeiTXcg28hyNk_8dWw34gP1pz8vRvjf_oFpqMIqG9gHaP4F_3MZmiXFXhG5Rbo7Hlg1eGALyu7I5ZdHe&xkcb=SoB-67M3_Po3GBwnAB0HbzkdCdPP&fccid=8774cb43672c6306&vjs=3"
116,"Cyber Engineer","WOOD Consulting Services","Pensacola, FL",,"2+ years of applicable experience in cyber security.
Support the configuration and administration of cyber security tools and systems.","Posted
Posted 5 days ago","https://www.indeed.com/rc/clk?jk=fa0f8d70394e9ae5&bb=xmBCfNe9FIHcOqa2K-Y4o6rZl35pc11loYU95qe7oIfVnPs_-EQrK32JLRjT4CtIz-I9KQKU3_61AtVGMph7XRVsRC9tvupokJs127LlOo2Qh4eCHngnuaKhEGpIN4oh&xkcb=SoDK67M3_Po3GBwnAB0GbzkdCdPP&fccid=0dbc130088c02723&vjs=3"
117,"Identity Access Management (IAM) Engineer","JM Family Enterprises","Hybrid work in Deerfield Beach, FL",,"Assist with security investigations and execute preventive measures.
The Identity and Access Management (IAM) Engineer will report directly to the Identity and…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=c6ae79ee08cb4ca4&bb=xmBCfNe9FIHcOqa2K-Y4o8HxjRnRAqSdtTvliQjTQnWmrvSTUoAVZiqumyTzyCHRXs04J4Wk9k9qaNHujOTJXOV7FFfWTiW8SM-vDjwmVgWmZ0G5AluTdb05EVPOj-qB&xkcb=SoBX67M3_Po3GBwnAB0FbzkdCdPP&fccid=84a811256879534a&vjs=3"
118,"Cyber Security Engineer","Vidorra Consulting Group","Tallahassee, FL",,"Design and implement security controls.
Be a subject matter expert on information security technologies and concepts.
ITIL training and certification is a plus.","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=390a1f0cbaf82757&bb=xmBCfNe9FIHcOqa2K-Y4o-t7H4FtGfvLhTRSCPIon8OsPRTD9MMyhgGQNiA6OAxuAwMhOl0GHQ_QzfXdTCYI_TZ0Sq_Rg9LdKL4kJGBW_hO1OaZIeaY5ZOkJHm27CGV1&xkcb=SoDj67M3_Po3GBwnAB0EbzkdCdPP&fccid=6f1ca26f210fd3d1&vjs=3"
119,"IT/Sr Info Security Engineer - Compliance and Security","Tallahassee Memorial Healthcare","Tallahassee, FL 32308",,"Installs and maintains security tools.
Leads information security architecture reviews for new and existing systems to ensure alignment with Tallahassee…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=42f532e1e54db11c&bb=xmBCfNe9FIHcOqa2K-Y4o0h72fpn4FAv5edqGdFw_g2j6DssQdyLnp_-To-S2YdHBfzfSp3QL6lVXEZUyveZ4ZlUlRan9E64tDFVzaA7RPGopSg3ab-I1i-wb4I7gVik&xkcb=SoDE67M3_Po3GBwnAB0bbzkdCdPP&fccid=ae525d8abd9609b7&vjs=3"
120,"Staff Red Team Engineer | Security","ServiceNow","Orlando, FL 32826",,"Deep understanding of cyber security principles and best practices.
8+ years of experience in cyber security, with a focus on red teaming and penetration…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=0c6ff0196c1686ae&bb=xmBCfNe9FIHcOqa2K-Y4o2g60iviEI2XVM1rvwzOZHLanmi_jbHUovgOhsIZzjEItYNMSsa5vzS5KIF6pWNBC8x0CQ-Q1mnwPk512y__rkRZ7CSuMfM1Mp5zbwrR0wKc&xkcb=SoBw67M3_Po3GBwnAB0abzkdCdPP&fccid=7442885bc0fa7c14&vjs=3"
121,"Windows Systems Engineer with Azure, Hyper-V, Networking and Security Experience (FL)","MSP4, LLC","Doral, FL",,"Experience in implementing security best practices for Windows and Azure environments.
Perform routine maintenance tasks such as backups, system updates, and…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=94c05593bf4ef7aa&bb=aIgvT_SY66ChtFaL6BeMMosUkf9hF4xq3n7rxugz_2EW5Yp6wk6-0MUQmgeiXEBc-uePc0K8f9oxFwEM0ItfZL34eFNHoiERViShs14XwIjTST06thXWb0GuNdQZihpL&xkcb=SoDN67M3_Po208gDSj0LbzkdCdPP&fccid=c281b7e9009b7b74&vjs=3"
122,"GISCS Security Architecture and Engineering Senior Director","Holland America Line Inc","Miami, FL","$137,700 - $225,000 a year","The Sr. Director, Security Architecture and Engineering is responsible for leading the overall global strategy for cyber security, implementation of GISCS…","Posted
Posted 1 day ago","https://www.indeed.com/rc/clk?jk=a2adaa0d3fe0e8e4&bb=aIgvT_SY66ChtFaL6BeMMqebUCZ_BI4beru8mfEBhjYKpvoP0i5ew9-vP8ErJoBxaibOcHnY7hxZG3QlnYobWJZyVRro066TviEMt6zCDruohhr3P6RkU8XoZthawWGK&xkcb=SoB567M3_Po208gDSj0KbzkdCdPP&fccid=fa188178345ae8f8&vjs=3"
123,"Tier III Network Security Engineer (IPSec)","By Light Professional IT Services LLC","Tampa, FL 33608 
(MacDill AFB area)",,"Develop, implement, and support the overall network security architecture on the JCSE enterprise.
Perform vulnerability and risk analyses of security hardware…","Posted
Posted 11 days ago","https://www.indeed.com/rc/clk?jk=bedfdc1f367bbf04&bb=aIgvT_SY66ChtFaL6BeMMmdLJwz9YnpZdYmLwF042RxLpYPCB3hEggCF_0i9G5xVvtzly2U4NHrVKTee1zPBkYmN1aN4uEpwvwP_MSKx9Kb0Oj4QGFiDUH0VHiah6_Ky&xkcb=SoDk67M3_Po208gDSj0JbzkdCdPP&fccid=325a9317a3ddbde6&vjs=3"
124,"Job 43 Cyber Engineer Principal I","CYBER CODE MASTERS LLC","Pensacola, FL 32534","$92,500 - $112,000 a year","Lead cyber security teams working with a variety of different tools and appliances, security challenges, and troubleshooting various complex issues.","Employer
Active 15 days ago","https://www.indeed.com/rc/clk?jk=c4000e42a882c87b&bb=aIgvT_SY66ChtFaL6BeMMjx5MZqFM_bK1sWBImx-MAswKzWrxcUgFBkRZzRhnNGOmi0sCLtRiFqNbwy703l5gZDjmk96ZkKfmz5pyX92ARtvg9SBghNvIYW1WWPxDqXA&xkcb=SoBQ67M3_Po208gDSj0IbzkdCdPP&fccid=aba25b7d7b5f19fe&vjs=3"
125,"Database Security Engineer, Assistant Vice President","MUFG Bank, Ltd.","Hybrid work in Tampa, FL 33607","$121,000 - $142,000 a year","Using security principles and best practice, the engineer will work with a team of other security professionals to provide guidance and support to operational,…","Posted
Posted 30+ days ago","https://www.indeed.com/rc/clk?jk=b5f0ccbf114066b5&bb=aIgvT_SY66ChtFaL6BeMMpVb8BtKVk4YbcvMjoG0wGV37wjYFd_ghS7pe2pCouHycjSgXp4MsovglFg7MlKgV9LV0bVvOg99V18cCkF6KcyV7CKFsa_TS0vyHYrxfZvg&xkcb=SoDe67M3_Po208gDSj0PbzkdCdPP&fccid=3b98171e4a0fd997&vjs=3"
126,"Information Systems Security Engineer","By Light Professional IT Services LLC","Tampa, FL 33608 
(MacDill AFB area)",,"Supporting the building of security architectures.
Assisting architects and systems developers in the identification and implementation of appropriate…","Posted
Posted 7 days ago","https://www.indeed.com/rc/clk?jk=7e2c0112564bacc4&bb=aIgvT_SY66ChtFaL6BeMMk92YAwhGlyb-II_XjU8d9P9s2K-CdauUDUHKwJdj8k8kA4B4Ub4_pGbunF1GrE-Nw75sx-9tyDs8-E49w_PsL_XucHpbTJxBxpDTJK2almT&xkcb=SoBq67M3_Po208gDSj0ObzkdCdPP&fccid=325a9317a3ddbde6&vjs=3"
